Year,Round,HigherSeed,Score,HigherTeam,LowerTeam,Score,LowerSeed,Winner
2008,1,6,67,USC,Kansas St,80,11,Kansas St
2008,1,7,76,Gonzaga,Davidson,82,10,Davidson
2008,1,8,71,UNLV,Kent St,58,9,UNLV
2008,1,1,87,Memphis,Texas Arlington,63,16,Memphis
2008,1,2,74,Texas,Austin Peay,54,15,Texas
2008,1,3,77,Stanford,Cornell,53,14,Stanford
2008,1,4,82,Pittsburgh,Oral Roberts,63,13,Pittsburgh
2008,1,5,72,Michigan St,Temple,61,12,Michigan St
2008,1,6,74,Marquette,Kentucky,66,11,Marquette
2008,1,7,78,Miami,St Marys,64,10,Miami
2008,1,8,76,Mississippi St,Oregon,69,9,Mississippi St
2008,1,1,70,UCLA,Mississippi Valley St,29,16,UCLA
2008,1,2,71,Duke,Belmont,70,15,Duke
2008,1,3,73,Xavier,Georgia,61,14,Xavier
2008,1,4,69,Connecticut,San Diego,70,13,San Diego
2008,1,5,99,Drake,Western Kentucky,101,12,Western Kentucky
2008,1,6,90,Purdue,Baylor,79,11,Purdue
2008,1,7,75,West Virginia,Arizona,65,10,West Virginia
2008,1,8,62,BYU,Texas A&M,67,9,Texas A&M
2008,2,1,108,North Carolina,Arkansas,77,9,North Carolina
2008,2,2,76,Tennessee,Butler,71,7,Tennessee
2008,2,3,78,Louisville,Oklahoma,48,6,Louisville
2008,2,4,61,Washington St,Notre Dame,41,5,Washington St
2008,2,1,75,Kansas,UNLV,56,8,Kansas
2008,2,2,70,Georgetown,Davidson,74,10,Davidson
2008,2,3,72,Wisconsin,Kansas St,55,11,Wisconsin
2008,2,13,72,Siena,Villanova,84,12,Villanova
2008,2,1,77,Memphis,Mississippi St,74,8,Memphis
2008,2,2,75,Texas,Miami,72,7,Texas
2008,2,3,82,Stanford,Marquette,81,6,Stanford
2008,2,4,54,Pittsburgh,Michigan St,65,5,Michigan St
2008,2,1,51,UCLA,Texas A&M,49,9,UCLA
2008,2,2,67,Duke,West Virginia,73,7,West Virginia
2008,2,3,85,Xavier,Purdue,78,6,Xavier
2008,2,13,63,San Diego,Western Kentucky,72,12,Western Kentucky
2008,3,1,68,North Carolina,Washington St,47,4,North Carolina
2008,3,2,60,Tennessee,Louisville,79,3,Louisville
2008,3,1,72,Kansas,Villanova,57,12,Kansas
2008,3,10,73,Davidson,Wisconsin,56,3,Davidson
2008,3,1,92,Memphis,Michigan St,74,5,Memphis
2008,3,2,82,Texas,Stanford,62,3,Texas
2008,3,1,88,UCLA,Western Kentucky,78,12,UCLA
2008,3,7,75,West Virginia,Xavier,79,3,Xavier
2008,4,1,83,North Carolina,Louisville,73,3,North Carolina
2008,4,1,59,Kansas,Davidson,57,10,Kansas
2008,4,1,85,Memphis,Texas,67,2,Memphis
2008,4,1,76,UCLA,Xavier,57,3,UCLA
2008,5,1,66,North Carolina,Kansas,84,1,Kansas
2008,5,1,78,Memphis,UCLA,63,1,Memphis
2008,6,1,75,Kansas,Memphis,68,1,Kansas
2009,1,1,74,Louisville,Morehead St,54,16,Louisville
2009,1,2,77,Michigan St,Robert Morris,62,15,Michigan St
2009,1,3,84,Kansas,North Dakota St,74,14,Kansas
2009,1,4,69,Wake Forest,Cleveland St,84,13,Cleveland St
2009,1,5,71,Utah,Arizona,84,12,Arizona
2009,1,6,60,West Virginia,Dayton,68,11,Dayton
2009,1,7,55,Boston College,USC,72,10,USC
2009,1,8,72,Ohio St,Siena,74,9,Siena
2009,1,1,103,Connecticut,Chattanooga,47,16,Connecticut
2009,1,2,81,Memphis,Cal St Northridge,70,15,Memphis
2009,1,3,78,Missouri,Cornell,59,14,Missouri
2009,1,4,71,Washington,Mississippi St,58,13,Washington
2009,1,5,61,Purdue,Northern Iowa,56,12,Purdue
2009,1,6,58,Marquette,Utah St,57,11,Marquette
2009,1,7,71,California,Maryland,84,10,Maryland
2009,1,8,66,BYU,Texas A&M,79,9,Texas A&M
2009,1,1,72,Pittsburgh,East Tennessee St,62,16,Pittsburgh
2009,1,2,85,Duke,Binghamton,62,15,Duke
2009,1,3,80,Villanova,American,67,14,Villanova
2009,1,4,77,Xavier,Portland St,59,13,Xavier
2009,1,5,59,Florida St,Wisconsin,61,12,Wisconsin
2009,1,6,65,UCLA,VCU,64,11,UCLA
2009,1,7,76,Texas,Minnesota,62,10,Texas
2009,1,8,77,Oklahoma St,Tennessee,75,9,Oklahoma St
2009,1,1,101,North Carolina,Radford,58,16,North Carolina
2009,1,2,82,Oklahoma,Morgan St,54,15,Oklahoma
2009,1,3,59,Syracuse,Stephen F Austin,44,14,Syracuse
2009,1,4,77,Gonzaga,Akron,64,13,Gonzaga
2009,1,5,72,Illinois,Western Kentucky,76,12,Western Kentucky
2009,1,6,66,Arizona St,Temple,57,11,Arizona St
2009,1,7,59,Clemson,Michigan,62,10,Michigan
2009,1,8,75,LSU,Butler,71,9,LSU
2009,2,1,79,Louisville,Siena,72,9,Louisville
2009,2,2,74,Michigan St,USC,69,10,Michigan St
2009,2,3,60,Kansas,Dayton,43,11,Kansas
2009,2,13,57,Cleveland St,Arizona,71,12,Arizona
2009,2,1,92,Connecticut,Texas A&M,66,9,Connecticut
2009,2,2,89,Memphis,Maryland,70,10,Memphis
2009,2,3,83,Missouri,Marquette,79,6,Missouri
2009,2,4,74,Washington,Purdue,76,5,Purdue
2009,2,1,84,Pittsburgh,Oklahoma St,76,8,Pittsburgh
2009,2,2,74,Duke,Texas,69,7,Duke
2009,2,3,89,Villanova,UCLA,69,6,Villanova
2009,2,4,60,Xavier,Wisconsin,49,12,Xavier
2009,2,1,84,North Carolina,LSU,70,8,North Carolina
2009,2,2,73,Oklahoma,Michigan,63,10,Oklahoma
2009,2,3,78,Syracuse,Arizona St,67,6,Syracuse
2009,2,4,83,Gonzaga,Western Kentucky,81,12,Gonzaga
2009,3,1,103,Louisville,Arizona,64,12,Louisville
2009,3,2,67,Michigan St,Kansas,62,3,Michigan St
2009,3,1,72,Connecticut,Purdue,60,5,Connecticut
2009,3,2,91,Memphis,Missouri,102,3,Missouri
2009,3,1,60,Pittsburgh,Xavier,55,4,Pittsburgh
2009,3,2,54,Duke,Villanova,77,3,Villanova
2009,3,1,98,North Carolina,Gonzaga,77,4,North Carolina
2009,3,2,84,Oklahoma,Syracuse,71,3,Oklahoma
2009,4,1,52,Louisville,Michigan St,64,2,Michigan St
2009,4,1,82,Connecticut,Missouri,75,3,Connecticut
2009,4,1,76,Pittsburgh,Villanova,78,3,Villanova
2009,4,1,72,North Carolina,Oklahoma,60,2,North Carolina
2009,5,2,82,Michigan St,Connecticut,73,1,Michigan St
2009,5,3,69,Villanova,North Carolina,83,1,North Carolina
2009,6,2,72,Michigan St,North Carolina,89,1,North Carolina
2010,1,1,90,Kansas,Lehigh,74,16,Kansas
2010,1,2,68,Ohio St,Santa Barbara,51,15,Ohio St
2010,1,3,83,Georgetown,Ohio,97,14,Ohio
2010,1,4,89,Maryland,Houston,77,13,Maryland
2010,1,5,70,Michigan St,New Mexico St,67,12,Michigan St
2010,1,6,62,Tennessee,San Diego St,59,11,Tennessee
2010,1,7,59,Oklahoma St,Georgia Tech,64,10,Georgia Tech
2010,1,8,66,UNLV,Northern Iowa,69,9,Northern Iowa
2010,1,1,79,Syracuse,Vermont,56,16,Syracuse
2010,1,2,82,Kansas St,North Texas,62,15,Kansas St
2010,1,3,89,Pittsburgh,Oakland,66,14,Pittsburgh
2010,1,4,65,Vanderbilt,Murray St,66,13,Murray St
2010,1,5,77,Butler,UTEP,59,12,Butler
2010,1,6,65,Xavier,Minnesota,54,11,Xavier
2010,1,7,99,BYU,Florida,92,10,BYU
2010,1,8,67,Gonzaga,Florida St,60,9,Gonzaga
2010,1,1,100,Kentucky,East Tennessee St,71,16,Kentucky
2010,1,2,77,West Virginia,Morgan St,50,15,West Virginia
2010,1,3,62,New Mexico,Montana,57,14,New Mexico
2010,1,4,53,Wisconsin,Wofford,49,13,Wisconsin
2010,1,5,65,Temple,Cornell,78,12,Cornell
2010,1,6,78,Marquette,Washington,80,11,Washington
2010,1,7,78,Clemson,Missouri,86,10,Missouri
2010,1,8,80,Texas,Wake Forest,81,9,Wake Forest
2010,1,1,73,Duke,Arkansas Pine Bluff,44,16,Duke
2010,1,2,73,Villanova,Robert Morris,70,15,Villanova
2010,1,3,68,Baylor,Sam Houston St,59,14,Baylor
2010,1,4,72,Purdue,Siena,64,13,Purdue
2010,1,5,69,Texas A&M,Utah St,53,12,Texas A&M
2010,1,6,50,Notre Dame,Old Dominion,51,11,Old Dominion
2010,1,7,71,Richmond,St Marys,80,10,St Marys
2010,1,8,77,California,Louisville,62,9,California
2010,2,1,67,Kansas,Northern Iowa,69,9,Northern Iowa
2010,2,2,75,Ohio St,Georgia Tech,66,10,Ohio St
2010,2,14,68,Ohio,Tennessee,83,6,Tennessee
2010,2,4,83,Maryland,Michigan St,85,5,Michigan St
2010,2,1,87,Syracuse,Gonzaga,65,8,Syracuse
2010,2,2,84,Kansas St,BYU,72,7,Kansas St
2010,2,3,68,Pittsburgh,Xavier,71,6,Xavier
2010,2,13,52,Murray St,Butler,54,5,Butler
2010,2,1,90,Kentucky,Wake Forest,60,9,Kentucky
2010,2,2,68,West Virginia,Missouri,59,10,West Virginia
2010,2,3,64,New Mexico,Washington,82,11,Washington
2010,2,4,69,Wisconsin,Cornell,87,12,Cornell
2010,2,1,68,Duke,California,53,8,Duke
2010,2,2,68,Villanova,St Marys,75,10,St Marys
2010,2,3,76,Baylor,Old Dominion,68,11,Baylor
2010,2,4,63,Purdue,Texas A&M,61,5,Purdue
2010,3,9,52,Northern Iowa,Michigan St,59,5,Michigan St
2010,3,2,73,Ohio St,Tennessee,76,6,Tennessee
2010,3,1,59,Syracuse,Butler,63,5,Butler
2010,3,2,101,Kansas St,Xavier,96,6,Kansas St
2010,3,1,62,Kentucky,Cornell,45,12,Kentucky
2010,3,2,69,West Virginia,Washington,56,11,West Virginia
2010,3,1,70,Duke,Purdue,57,4,Duke
2010,3,10,49,St Marys,Baylor,72,3,Baylor
2010,4,5,70,Michigan St,Tennessee,69,6,Michigan St
2010,4,5,63,Butler,Kansas St,56,2,Butler
2010,4,1,66,Kentucky,West Virginia,73,2,West Virginia
2010,4,1,78,Duke,Baylor,71,3,Duke
2010,5,5,50,Michigan St,Butler,52,5,Butler
2010,5,2,57,West Virginia,Duke,78,1,Duke
2010,6,5,59,Butler,Duke,61,1,Duke
2011,1,1,75,Ohio St,Texas San Antonio,46,16,Ohio St
2011,1,2,102,North Carolina,Long Island Brooklyn,87,15,North Carolina
2011,1,3,77,Syracuse,Indiana St,60,14,Syracuse
2011,1,4,59,Kentucky,Princeton,57,13,Kentucky
2011,1,5,84,West Virginia,Clemson,78,12,West Virginia
2011,1,6,55,Xavier,Marquette,66,11,Marquette
2011,1,7,68,Washington,Georgia,65,10,Washington
2011,1,8,61,George Mason,Villanova,57,9,George Mason
2011,1,1,87,Duke,Hampton,45,16,Duke
2011,1,2,68,San Diego St,Northern Colorado,50,15,San Diego St
2011,1,3,81,Connecticut,Bucknell,52,14,Connecticut
2011,1,4,85,Texas,Oakland,81,13,Texas
2011,1,5,77,Arizona,Memphis,75,12,Arizona
2011,1,6,78,Cincinnati,Missouri,63,11,Cincinnati
2011,1,7,66,Temple,Penn St,64,10,Temple
2011,1,8,75,Michigan,Tennessee,45,9,Michigan
2011,1,1,72,Kansas,Boston University,53,16,Kansas
2011,1,2,69,Notre Dame,Akron,56,15,Notre Dame
2011,1,3,65,Purdue,St Peters,43,14,Purdue
2011,1,4,61,Louisville,Morehead St,62,13,Morehead St
2011,1,5,66,Vanderbilt,Richmond,69,12,Richmond
2011,1,6,56,Georgetown,VCU,74,11,VCU
2011,1,7,50,Texas A&M,Florida St,57,10,Florida St
2011,1,8,62,UNLV,Illinois,73,9,Illinois
2011,1,1,74,Pittsburgh,UNC Asheville,51,16,Pittsburgh
2011,1,2,79,Florida,Santa Barbara,51,15,Florida
2011,1,3,74,BYU,Wofford,66,14,BYU
2011,1,4,72,Wisconsin,Belmont,58,13,Wisconsin
2011,1,5,73,Kansas St,Utah St,68,12,Kansas St
2011,1,6,71,St Johns,Gonzaga,86,11,Gonzaga
2011,1,7,78,UCLA,Michigan St,76,10,UCLA
2011,1,8,60,Butler,Old Dominion,58,9,Butler
2011,2,1,98,Ohio St,George Mason,66,8,Ohio St
2011,2,2,86,North Carolina,Washington,83,7,North Carolina
2011,2,3,62,Syracuse,Marquette,66,11,Marquette
2011,2,4,71,Kentucky,West Virginia,63,5,Kentucky
2011,2,1,73,Duke,Michigan,71,8,Duke
2011,2,2,71,San Diego St,Temple,64,7,San Diego St
2011,2,3,69,Connecticut,Cincinnati,58,6,Connecticut
2011,2,4,69,Texas,Arizona,70,5,Arizona
2011,2,1,73,Kansas,Illinois,59,9,Kansas
2011,2,2,57,Notre Dame,Florida St,71,10,Florida St
2011,2,3,76,Purdue,VCU,94,11,VCU
2011,2,13,48,Morehead St,Richmond,65,12,Richmond
2011,2,1,70,Pittsburgh,Butler,71,8,Butler
2011,2,2,73,Florida,UCLA,65,7,Florida
2011,2,3,89,BYU,Gonzaga,67,11,BYU
2011,2,4,70,Wisconsin,Kansas St,65,5,Wisconsin
2011,3,1,60,Ohio St,Kentucky,62,4,Kentucky
2011,3,2,81,North Carolina,Marquette,63,11,North Carolina
2011,3,1,77,Duke,Arizona,93,5,Arizona
2011,3,2,67,San Diego St,Connecticut,74,3,Connecticut
2011,3,1,77,Kansas,Richmond,57,12,Kansas
2011,3,10,71,Florida St,VCU,72,11,VCU
2011,3,8,61,Butler,Wisconsin,54,4,Butler
2011,3,2,83,Florida,BYU,74,3,Florida
2011,4,4,76,Kentucky,North Carolina,69,2,Kentucky
2011,4,5,63,Arizona,Connecticut,65,3,Connecticut
2011,4,1,61,Kansas,VCU,71,11,VCU
2011,4,8,74,Butler,Florida,71,2,Butler
2011,5,4,55,Kentucky,Connecticut,56,3,Connecticut
2011,5,11,62,VCU,Butler,70,8,Butler
2011,6,3,53,Connecticut,Butler,41,8,Connecticut
2012,1,1,81,Kentucky,Western Kentucky,66,16,Kentucky
2012,1,2,70,Duke,Lehigh,75,15,Lehigh
2012,1,3,68,Baylor,South Dakota St,60,14,Baylor
2012,1,4,79,Indiana,New Mexico St,66,13,Indiana
2012,1,5,59,Wichita St,VCU,62,12,VCU
2012,1,6,64,UNLV,Colorado,68,11,Colorado
2012,1,7,63,Notre Dame,Xavier,67,10,Xavier
2012,1,8,77,Iowa St,Connecticut,64,9,Iowa St
2012,1,1,89,Michigan St,Long Island Brooklyn,67,16,Michigan St
2012,1,2,84,Missouri,Norfolk St,86,15,Norfolk St
2012,1,3,88,Marquette,BYU,68,14,Marquette
2012,1,4,69,Louisville,Davidson,62,13,Louisville
2012,1,5,75,New Mexico,Long Beach St,68,12,New Mexico
2012,1,6,58,Murray St,Colorado St,41,11,Murray St
2012,1,7,71,Florida,Virginia,45,10,Florida
2012,1,8,54,Memphis,St Louis,61,9,St Louis
2012,1,1,72,Syracuse,UNC Asheville,65,16,Syracuse
2012,1,2,78,Ohio St,Loyola Maryland,59,15,Ohio St
2012,1,3,86,Florida St,St Bonaventure,63,14,Florida St
2012,1,4,73,Wisconsin,Montana,49,13,Wisconsin
2012,1,5,79,Vanderbilt,Harvard,70,12,Vanderbilt
2012,1,6,65,Cincinnati,Texas,59,11,Cincinnati
2012,1,7,77,Gonzaga,West Virginia,54,10,Gonzaga
2012,1,8,70,Kansas St,Southern Mississippi,64,9,Kansas St
2012,1,1,77,North Carolina,Vermont,58,16,North Carolina
2012,1,2,65,Kansas,Detroit,50,15,Kansas
2012,1,3,74,Georgetown,Belmont,59,14,Georgetown
2012,1,4,60,Michigan,Ohio,65,13,Ohio
2012,1,5,44,Temple,South Florida,58,12,South Florida
2012,1,6,65,San Diego St,NC State,79,11,NC State
2012,1,7,69,St Marys,Purdue,72,10,Purdue
2012,1,8,58,Creighton,Alabama,57,9,Creighton
2012,2,1,87,Kentucky,Iowa St,71,8,Kentucky
2012,2,15,58,Lehigh,Xavier,70,10,Xavier
2012,2,3,80,Baylor,Colorado,63,11,Baylor
2012,2,4,63,Indiana,VCU,61,12,Indiana
2012,2,1,65,Michigan St,St Louis,61,9,Michigan St
2012,2,15,50,Norfolk St,Florida,84,7,Florida
2012,2,3,62,Marquette,Murray St,53,6,Marquette
2012,2,4,59,Louisville,New Mexico,58,5,Louisville
2012,2,1,75,Syracuse,Kansas St,59,8,Syracuse
2012,2,2,73,Ohio St,Gonzaga,66,7,Ohio St
2012,2,3,56,Florida St,Cincinnati,62,6,Cincinnati
2012,2,4,60,Wisconsin,Vanderbilt,57,5,Wisconsin
2012,2,1,87,North Carolina,Creighton,73,8,North Carolina
2012,2,2,63,Kansas,Purdue,60,10,Kansas
2012,2,3,63,Georgetown,NC State,88,11,NC State
2012,2,13,62,Ohio,South Florida,56,12,Ohio
2012,3,1,102,Kentucky,Indiana,90,4,Kentucky
2012,3,10,70,Xavier,Baylor,75,3,Baylor
2012,3,1,44,Michigan St,Louisville,57,4,Louisville
2012,3,7,68,Florida,Marquette,58,3,Florida
2012,3,1,84,Syracuse,Wisconsin,83,4,Syracuse
2012,3,2,81,Ohio St,Cincinnati,66,6,Ohio St
2012,3,1,73,North Carolina,Ohio,65,13,North Carolina
2012,3,2,60,Kansas,NC State,57,11,Kansas
2012,4,1,82,Kentucky,Baylor,70,3,Kentucky
2012,4,4,72,Louisville,Florida,68,7,Louisville
2012,4,1,70,Syracuse,Ohio St,77,2,Ohio St
2012,4,1,67,North Carolina,Kansas,80,2,Kansas
2012,5,1,69,Kentucky,Louisville,61,4,Kentucky
2012,5,2,62,Ohio St,Kansas,64,2,Kansas
2012,6,1,67,Kentucky,Kansas,59,2,Kentucky
2013,1,1,79,Louisville,North Carolina A&T,48,16,Louisville
2013,1,2,73,Duke,Albany,61,15,Duke
2013,1,3,65,Michigan St,Valparaiso,54,14,Michigan St
2013,1,4,64,St Louis,New Mexico St,44,13,St Louis
2013,1,5,55,Oklahoma St,Oregon,68,12,Oregon
2013,1,6,54,Memphis,St Marys,52,11,Memphis
2013,1,7,67,Creighton,Cincinnati,63,10,Creighton
2013,1,8,84,Colorado St,Missouri,72,9,Colorado St
2013,1,1,64,Gonzaga,Southern,58,16,Gonzaga
2013,1,2,95,Ohio St,Iona,70,15,Ohio St
2013,1,3,62,New Mexico,Harvard,68,14,Harvard
2013,1,4,61,Kansas St,La Salle,63,13,La Salle
2013,1,5,46,Wisconsin,Ole Miss,57,12,Ole Miss
2013,1,6,81,Arizona,Belmont,64,11,Arizona
2013,1,7,58,Notre Dame,Iowa St,76,10,Iowa St
2013,1,8,55,Pittsburgh,Wichita St,73,9,Wichita St
2013,1,1,64,Kansas,Western Kentucky,57,16,Kansas
2013,1,2,68,Georgetown,Florida Gulf Coast,78,15,Florida Gulf Coast
2013,1,3,79,Florida,Northwestern St,47,14,Florida
2013,1,4,71,Michigan,South Dakota St,56,13,Michigan
2013,1,5,88,VCU,Akron,42,12,VCU
2013,1,6,63,UCLA,Minnesota,83,11,Minnesota
2013,1,7,70,San Diego St,Oklahoma,55,10,San Diego St
2013,1,8,78,North Carolina,Villanova,71,9,North Carolina
2013,1,1,83,Indiana,James Madison,62,16,Indiana
2013,1,2,78,Miami,Pacific,49,15,Miami
2013,1,3,59,Marquette,Davidson,58,14,Marquette
2013,1,4,81,Syracuse,Montana,34,13,Syracuse
2013,1,5,61,UNLV,California,64,12,California
2013,1,6,68,Butler,Bucknell,56,11,Butler
2013,1,7,57,Illinois,Colorado,49,10,Illinois
2013,1,8,72,NC State,Temple,76,9,Temple
2013,2,1,82,Louisville,Colorado St,56,8,Louisville
2013,2,2,66,Duke,Creighton,50,7,Duke
2013,2,3,70,Michigan St,Memphis,48,6,Michigan St
2013,2,4,57,St Louis,Oregon,74,12,Oregon
2013,2,1,70,Gonzaga,Wichita St,76,9,Wichita St
2013,2,2,78,Ohio St,Iowa St,75,10,Ohio St
2013,2,14,51,Harvard,Arizona,74,6,Arizona
2013,2,13,76,La Salle,Ole Miss,74,12,La Salle
2013,2,1,70,Kansas,North Carolina,58,8,Kansas
2013,2,15,81,Florida Gulf Coast,San Diego St,71,7,Florida Gulf Coast
2013,2,3,78,Florida,Minnesota,64,11,Florida
2013,2,4,78,Michigan,VCU,53,5,Michigan
2013,2,1,58,Indiana,Temple,52,9,Indiana
2013,2,2,63,Miami,Illinois,59,7,Miami
2013,2,3,74,Marquette,Butler,72,6,Marquette
2013,2,4,66,Syracuse,California,60,12,Syracuse
2013,3,1,77,Louisville,Oregon,69,12,Louisville
2013,3,2,71,Duke,Michigan St,61,3,Duke
2013,3,9,72,Wichita St,La Salle,58,13,Wichita St
2013,3,2,73,Ohio St,Arizona,70,6,Ohio St
2013,3,1,85,Kansas,Michigan,87,4,Michigan
2013,3,15,50,Florida Gulf Coast,Florida,62,3,Florida
2013,3,1,50,Indiana,Syracuse,61,4,Syracuse
2013,3,2,61,Miami,Marquette,71,3,Marquette
2013,4,1,85,Louisville,Duke,63,2,Louisville
2013,4,9,70,Wichita St,Ohio St,66,2,Wichita St
2013,4,4,79,Michigan,Florida,59,3,Michigan
2013,4,4,55,Syracuse,Marquette,39,3,Syracuse
2013,5,1,72,Louisville,Wichita St,68,9,Louisville
2013,5,4,61,Michigan,Syracuse,56,4,Michigan
2013,6,1,82,Louisville,Michigan,76,4,Louisville
2014,1,1,67,Florida,Albany,55,16,Florida
2014,1,2,80,Kansas,Eastern Kentucky,69,15,Kansas
2014,1,3,77,Syracuse,Western Michigan,53,14,Syracuse
2014,1,4,76,UCLA,Tulsa,59,13,UCLA
2014,1,5,75,VCU,Stephen F Austin,77,12,Stephen F Austin
2014,1,6,59,Ohio St,Dayton,60,11,Dayton
2014,1,7,53,New Mexico,Stanford,58,10,Stanford
2014,1,8,48,Colorado,Pittsburgh,77,9,Pittsburgh
2014,1,1,70,Virginia,Coastal Carolina,59,16,Virginia
2014,1,2,73,Villanova,Wisconsin Milwaukee,53,15,Villanova
2014,1,3,93,Iowa St,North Carolina Central,75,14,Iowa St
2014,1,4,93,Michigan St,Delaware,78,13,Michigan St
2014,1,5,57,Cincinnati,Harvard,61,12,Harvard
2014,1,6,79,North Carolina,Providence,77,11,North Carolina
2014,1,7,89,Connecticut,St Josephs,81,10,Connecticut
2014,1,8,71,Memphis,George Washington,66,9,Memphis
2014,1,1,88,Arizona,Weber St,59,16,Arizona
2014,1,2,75,Wisconsin,American,35,15,Wisconsin
2014,1,3,76,Creighton,Louisiana Lafayette,66,14,Creighton
2014,1,4,73,San Diego St,New Mexico St,69,13,San Diego St
2014,1,5,75,Oklahoma,North Dakota St,80,12,North Dakota St
2014,1,6,74,Baylor,Nebraska,60,11,Baylor
2014,1,7,87,Oregon,BYU,68,10,Oregon
2014,1,8,85,Gonzaga,Oklahoma St,77,9,Gonzaga
2014,1,1,64,Wichita St,Cal Poly,37,16,Wichita St
2014,1,2,57,Michigan,Wofford,40,15,Michigan
2014,1,3,71,Duke,Mercer,78,14,Mercer
2014,1,4,71,Louisville,Manhattan,64,13,Louisville
2014,1,5,83,St Louis,NC State,80,12,St Louis
2014,1,6,67,Massachusetts,Tennessee,86,11,Tennessee
2014,1,7,87,Texas,Arizona St,85,10,Texas
2014,1,8,56,Kentucky,Kansas St,49,9,Kentucky
2014,2,1,61,Florida,Pittsburgh,45,9,Florida
